gname	gchrom	gstart	gend	log.FPRM	strand	status	echrom	estart	end	gid	eid	prob	log.p.value.correct
NM_001081337	chr8	127941962	128016610	1.92073445551441	-	1	chr8	127974900	127976900	5791	29911	0.983050847457627	84.2997438262981
NM_013660	chr13	51796616	51889013	1.69497687261661	-	1	chr13	51764200	51766200	4912	7867	1	83.9070525311009
NM_010831	chr17	31981194	31992737	2.48127506355395	-	1	chr17	32081600	32083600	7877	13287	1	83.9070525311009
NM_001166584	chr7	119822833	120050317	1.59067498446321	+	1	chr7	119916200	119918200	4484	27474	1	82.2533604010241
NM_019880	chr17	29469020	29484849	3.04149882358677	-	1	chr17	29385500	29387500	9402	13111	1	82.2533604010241
NM_001113486	chr11	117060974	117223639	1.9617230351914	+	1	chr11	117180200	117182200	5952	2324	0.983050847457627	81.4192945568575
NM_139311	chr11	97524725	97546772	1.84095431340825	+	1	chr11	97572000	97574000	5499	5697	1	81.3846846613299
NM_175460	chr1	154802230	154966391	1.88707873990015	+	1	chr1	154693300	154695300	5653	3741	1	81.3846846613299
NM_001130452	chr11	96678727	96685441	2.43800719709661	-	1	chr11	96653800	96655800	7726	5626	1	81.3846846613299
NM_199307	chr4	137418151	137521143	2.03625738444869	+	1	chr4	137307300	137309300	6247	21744	1	80.4855245846126
NM_001025395	chr2	157250028	157297574	2.44927083652898	+	1	chr2	157141100	157143100	7762	17266	1	80.4855245846126
NM_001005507	chr1	154684125	154749776	2.77922912587704	-	1	chr1	154693300	154695300	8768	3741	1	80.4855245846126
NM_009335	chr2	172375092	172384119	3.14593947379069	+	1	chr2	172379250	172381250	9618	17827	0.966101694915254	79.9065688897049
NM_016926	chr5	114192454	114221658	2.20492154619262	-	1	chr5	114322300	114324300	6882	23381	0.983050847457627	79.8453287097387
NM_008831	chr11	95528303	95542087	2.70839680769387	+	1	chr11	95543100	95545100	8586	5565	0.983050847457627	79.8453287097387
NM_144810	chr1	134195202	134203934	-1.78119942329881	+	0	chr1	134157800	134159800	2804	3052	1	79.5536638457368
NM_181047	chr4	134925491	134941587	-1.46257515367755	-	0	chr4	135085300	135087300	3259	21614	1	79.5536638457368
NM_010285	chr2	157155231	157172391	-1.13644188986646	-	0	chr2	157166500	157168500	3726	17268	1	79.5536638457368
NM_001013756	chr4	135097802	135129535	1.60859355606557	-	1	chr4	135109900	135111900	4580	21618	1	79.5536638457368
NM_011908	chr5	149316206	149364364	2.24457561121615	-	1	chr5	149318900	149320900	7030	24587	1	79.5536638457368
NM_172429	chr19	53453703	53465063	2.67710290201158	-	1	chr19	53609500	53611500	8489	16223	1	79.5536638457368
NM_011287	chr17	28465415	28467978	4.88538948105851	+	1	chr17	28544600	28546600	10964	13037	1	79.5536638457368
NM_001013385	chr17	27559332	27640249	-2.88639905952248	-	0	chr17	27529700	27531700	1446	12938	1	78.5866303155698
NM_007745	chr4	148499299	148500850	-1.09900036395959	-	0	chr4	148449900	148451900	3784	22133	1	78.5866303155698
NM_001110266	chr17	46153942	46162112	1.59634254112186	-	1	chr17	46115500	46117500	4517	13514	1	78.5866303155698
NM_011669	chr5	147546387	147606532	1.94889283926615	-	1	chr5	147650600	147652600	5908	24507	1	78.5866303155698
NM_181072	chr9	70055156	70247874	2.49408110216754	+	1	chr9	70202900	70204900	7924	32633	1	78.5866303155698
NM_019877	chr11	96711189	96722516	1.66751623636033	+	1	chr11	96653800	96655800	4808	5626	0.983050847457627	78.1664118257398
NM_001130450	chr11	96678727	96690816	2.39168512056698	-	1	chr11	96557150	96559150	7565	5611	0.983050847457627	78.1664118257398
NM_054050	chr2	29475239	29595883	2.05475430407502	+	1	chr2	29592650	29594650	6325	18216	0.966101694915254	77.6905960523529
NM_011708	chr6	125502980	125636695	-1.33377781520964	+	0	chr6	125367600	125369600	3449	25829	1	77.5816643218767
NM_001025250	chr17	46153942	46169326	2.14309099583946	-	1	chr17	46264850	46266850	6653	13525	1	77.5816643218767
NM_175175	chr4	10915809	10934766	4.05003036594617	-	1	chr4	10911550	10913550	10664	20833	0.983050847457627	77.2830363215642
NM_025526	chr5	114222820	114228291	2.02418382037886	+	1	chr5	114322300	114324300	6201	23381	0.966101694915254	76.9055555050643
NM_001009819	chr4	128436501	128446542	-3.42244961913566	+	0	chr4	128357900	128359900	872	21225	1	76.5356650213413
NM_153512	chr17	83985296	84031235	-1.01447428586704	-	0	chr17	84039050	84041050	3918	14051	1	76.5356650213413
NM_007395	chr15	101004555	101043032	2.02309735509042	+	1	chr15	101027200	101029200	6199	9890	1	76.5356650213413
NM_001113573	chr2	27301100	27331193	2.55349166033321	-	1	chr2	27312100	27314100	8099	18141	1	76.5356650213413
NM_178069	chr16	30561454	30587675	2.65495879986096	-	1	chr16	30560400	30562400	8436	11894	1	76.5356650213413
NM_009366	chr14	76904371	76907568	3.8953772300275	+	1	chr14	76818000	76820000	10558	9672	1	76.5356650213413
NM_016737	chr19	7095185	7114516	4.86082739296239	-	1	chr19	6987950	6989950	10960	16400	1	76.5356650213413
NM_011434	chr16	90220986	90226569	4.98501658614526	+	1	chr16	90246500	90248500	10978	12415	1	76.5356650213413
NM_001013771	chr1	59573107	59691353	-2.38255188688244	+	0	chr1	59484100	59486100	2014	11248	0.983050847457627	76.36755550198
NM_001005605	chr6	140572209	140604002	1.85684940081094	+	1	chr6	140582200	140584200	5563	26070	0.983050847457627	76.36755550198
NM_175332	chr11	97488700	97491030	2.44762871488499	-	1	chr11	97572000	97574000	7754	5697	0.983050847457627	76.36755550198
NM_018872	chr1	36849033	36996372	2.81486366072556	-	1	chr1	36963700	36965700	8859	8234	0.949152542372881	75.6673584781508
NM_177868	chr4	141446765	141567552	-1.57215176164818	-	0	chr4	141605100	141607100	3110	22013	1	75.4451466477319
NM_020516	chr15	79081445	79085178	-1.39809977156972	-	0	chr15	79053800	79055800	3355	10807	1	75.4451466477319
NM_001029844	chr12	107248472	107315620	1.62465159523948	+	1	chr12	107268400	107270400	4642	6013	1	75.4451466477319
NM_029012	chr5	115461532	115548799	2.5772503126165	+	1	chr5	115533900	115535900	8181	23478	1	75.4451466477319
NM_172703	chr4	137549384	137762386	2.61996188078087	+	1	chr4	137657200	137659200	8325	21776	1	75.4451466477319
NM_080848	chr2	27370666	27392053	3.21476739682366	+	1	chr2	27312100	27314100	9742	18141	1	75.4451466477319
NM_009387	chr11	117676832	117687328	1.78764099996431	-	1	chr11	117592700	117594700	5283	2361	0.983050847457627	75.4175439761372
NM_013867	chr3	122122697	122233098	1.76698852023613	+	1	chr3	122131700	122133700	5204	19485	0.966101694915254	75.2565837853558
NM_173755	chr11	116399066	116442761	2.0310794733643	-	1	chr11	116410900	116412900	6232	2256	0.983050847457627	74.4302944716292
NM_001025250	chr17	46153942	46169326	2.14309099583946	-	1	chr17	46115500	46117500	6653	13514	0.983050847457627	74.4302944716292
NM_152800	chr2	32612790	32617764	2.93484042853662	+	1	chr2	32557800	32559800	9174	18407	0.983050847457627	74.4302944716292
NM_001048058	chr11	114530094	114533645	4.00896639627151	+	1	chr11	114559700	114561700	10635	2149	0.983050847457627	74.4302944716292
NM_013486	chr3	101079830	101091862	-0.949857856718103	-	0	chr3	101149850	101151850	4010	19171	0.966101694915254	74.388992506411
NM_134084	chr14	26513655	26519952	2.47753790045057	+	1	chr14	26458000	26460000	7865	8950	0.966101694915254	74.388992506411
NM_026571	chr17	28712663	28720538	-3.11550729189117	+	0	chr17	28689100	28691100	1176	13050	1	74.3061394163993
NM_176847	chr11	115176505	115183232	-2.66629759973086	-	0	chr11	115031300	115033300	1700	2168	1	74.3061394163993
NM_025325	chr17	84230693	84246130	-2.40374444590732	-	0	chr17	84206950	84208950	1978	14069	1	74.3061394163993
NM_133788	chr4	151671459	151681231	1.92300846750442	+	1	chr4	151706100	151708100	5803	22302	1	74.3061394163993
NM_029101	chr15	82946278	82953231	2.28379567223073	-	1	chr15	82989100	82991100	7171	10981	1	74.3061394163993
NM_030248	chr11	96769099	96777795	2.72078213824692	-	1	chr11	96653800	96655800	8622	5626	1	74.3061394163993
NM_007462	chr18	34380637	34481844	2.77424360217033	+	1	chr18	34458600	34460600	8758	14468	1	74.3061394163993
NM_133887	chr4	132409978	132440373	2.80757572626552	-	1	chr4	132468600	132470600	8841	21414	1	74.3061394163993
NM_007790	chr19	53674885	53720321	3.76677524342202	+	1	chr19	53609500	53611500	10444	16223	1	74.3061394163993
NM_029787	chr15	82983931	83002638	3.89829318127977	-	1	chr15	82989100	82991100	10560	10981	1	74.3061394163993
NM_011740	chr15	36700018	36724293	4.30873928725402	-	1	chr15	36716400	36718400	10800	10212	1	74.3061394163993
NM_009637	chr6	140572818	140625939	2.46617394991529	+	1	chr6	140582200	140584200	7821	26070	0.966101694915254	73.4898912316233
NM_026290	chr17	28667805	28675918	-2.99098555705887	+	0	chr17	28689100	28691100	1312	13050	0.983050847457627	73.4027652876243
NM_011201	chr2	167757826	167804885	1.69050532568673	+	1	chr2	167891050	167893050	4889	17665	0.983050847457627	73.4027652876243
NM_001081400	chr16	8830192	8859017	2.2991160829303	+	1	chr16	8837700	8839700	7229	12391	0.983050847457627	73.4027652876243
NM_009391	chr5	129526030	129530196	4.24512241760932	+	1	chr5	129498300	129500300	10775	23932	0.983050847457627	73.4027652876243
NM_145929	chr15	78707619	78725014	1.74825332003	+	1	chr15	78772600	78774600	5125	10786	0.949152542372881	73.353374247199
NM_009161	chr11	94824521	94837641	-3.25104267511224	-	0	chr11	94743400	94745400	1033	5491	1	73.114140918359
NM_201607	chr8	73247962	73275075	-1.49077970429734	+	0	chr8	73368700	73370700	3226	30687	1	73.114140918359
NM_178220	chr7	106683995	106755281	1.98093801857779	+	1	chr7	106622300	106624300	6042	27266	1	73.114140918359
NM_028984	chr2	144096770	144106965	2.22748324249144	+	1	chr2	144224000	144226000	6950	16992	1	73.114140918359
NM_172721	chr5	118514989	118605467	2.24072351896756	-	1	chr5	118481400	118483400	7014	23584	1	73.114140918359
NM_029770	chr10	60225342	60294329	2.3325709884843	-	1	chr10	60410700	60412700	7361	905	1	73.114140918359
NM_010236	chr2	32538128	32549695	2.35561388054176	-	1	chr2	32557800	32559800	7434	18407	1	73.114140918359
NM_178923	chr16	90229384	90284670	2.74878259160815	-	1	chr16	90246500	90248500	8698	12415	1	73.114140918359
NM_001146176	chr12	78038255	78063235	2.78417138348285	-	1	chr12	78045100	78047100	8785	6854	1	73.114140918359
NM_134010	chr10	117187698	117229761	3.03086290293746	-	1	chr10	117141800	117143800	9376	148	1	73.114140918359
NM_138669	chr11	119149676	119161357	3.11134851897055	-	1	chr11	119153600	119155600	9549	2450	1	73.114140918359
NM_001171054	chr17	84105502	84192216	3.30942194727796	+	1	chr17	84139600	84141600	9898	14062	1	73.114140918359
NM_024225	chr2	144075861	144096267	4.29634210430655	-	1	chr2	144224000	144226000	10796	16992	1	73.114140918359
NM_009079	chr4	151699986	151708180	4.61300937906618	+	1	chr4	151706100	151708100	10917	22302	1	73.114140918359
NM_012052	chr7	106626406	106632219	5.47116502064557	-	1	chr7	106622300	106624300	11009	27266	1	73.114140918359
NM_012052	chr7	106626406	106632219	5.47116502064557	-	1	chr7	106665600	106667600	11009	27268	1	73.114140918359
NM_030189	chr4	135051901	135093718	-1.81595790394443	+	0	chr4	135085300	135087300	2760	21614	0.966101694915254	72.5569013051036
NM_199068	chr5	142877450	142937969	1.60034469415498	+	1	chr5	142932100	142934100	4540	24363	0.966101694915254	72.5569013051036
NM_178702	chr5	142960794	143027031	2.22800377806207	-	1	chr5	143021600	143023600	6953	24371	0.966101694915254	72.5569013051036
NM_011400	chr4	118781349	118809934	5.00872680742691	+	1	chr4	118874000	118876000	10981	21038	0.966101694915254	72.5569013051036
NM_008686	chr11	96678727	96691282	2.01989852222063	-	1	chr11	96557150	96559150	6180	5611	0.949152542372881	72.530390429952
NM_001130450	chr11	96678727	96690816	2.39168512056698	-	1	chr11	96653800	96655800	7565	5626	0.949152542372881	72.530390429952
NM_001162965	chr5	113686493	113739806	-1.48502799425914	-	0	chr5	113724900	113726900	3234	23339	0.983050847457627	72.3315374875852
NM_001168526	chr19	32197217	32285503	2.0346402862253	-	1	chr19	32201100	32203100	6244	15684	0.983050847457627	72.3315374875852
NM_080560	chr10	94977795	95008292	2.39881303334548	+	1	chr10	94850600	94852600	7592	1669	0.983050847457627	72.3315374875852
NM_145215	chr5	135485168	135488040	2.43695863091465	+	1	chr5	135531500	135533500	7724	24064	0.983050847457627	72.3315374875852
NM_025739	chr4	116944068	117169520	2.75895241902933	-	1	chr4	117246900	117248900	8723	20944	0.983050847457627	72.3315374875852
NM_024457	chr10	117251652	117283030	3.74350494057783	-	1	chr10	117141800	117143800	10427	148	0.983050847457627	72.3315374875852
NM_031873	chr4	139209452	139226194	-4.00859448033081	+	0	chr4	139184900	139186900	418	21865	1	71.8639735544014
NM_010768	chr10	80720289	80725726	-2.34658609353699	+	0	chr10	80707400	80709400	2062	1416	1	71.8639735544014
NM_001081330	chr11	69234310	69362610	-1.68381130442394	-	0	chr11	69214100	69216100	2949	4390	1	71.8639735544014
NM_144794	chr1	182872648	182905235	1.58596046123598	+	1	chr1	182793100	182795100	4465	4980	1	71.8639735544014
NM_172681	chr3	83702208	83844083	1.7794641911339	-	1	chr3	83727000	83729000	5253	20284	1	71.8639735544014
NM_025383	chr4	140622427	140634260	1.8283613716726	-	1	chr4	140526500	140528500	5440	21941	1	71.8639735544014
NM_001025263	chr3	8929435	9004515	1.9972358714885	-	1	chr3	8986500	8988500	6094	20486	1	71.8639735544014
NM_025544	chr4	125724171	125732780	2.52814971115927	+	1	chr4	125848400	125850400	8025	21179	1	71.8639735544014
NM_175414	chr6	127911417	128093596	2.61388603104446	-	1	chr6	128176000	128178000	8316	25894	1	71.8639735544014
NM_144509	chr5	124566116	124568204	2.65669374682538	+	1	chr5	124460500	124462500	8441	23814	1	71.8639735544014
NM_023739	chr4	40917975	40973025	2.69414733593322	+	1	chr4	40880300	40882300	8534	22536	1	71.8639735544014
NM_148948	chr12	105925951	105990162	2.73300944481001	-	1	chr12	105928100	105930100	8657	5945	1	71.8639735544014
NM_175451	chr10	83989049	83996633	2.76757618041624	-	1	chr10	84120650	84122650	8742	1492	1	71.8639735544014
NM_010094	chr1	182865169	182868532	2.84582756681152	+	1	chr1	182793100	182795100	8951	4980	1	71.8639735544014
NM_019639	chr5	125866334	125870387	2.9849796709669	-	1	chr5	125935750	125937750	9285	23888	1	71.8639735544014
NM_009412	chr3	8929435	9004515	3.23981897798806	-	1	chr3	8986500	8988500	9786	20486	1	71.8639735544014
NM_197982	chr8	86239097	86247247	3.31617311995965	+	1	chr8	86244800	86246800	9908	30855	1	71.8639735544014
NM_026602	chr3	102975633	102983077	3.73399621291706	+	1	chr3	102918100	102920100	10416	19246	1	71.8639735544014
NM_001081005	chr2	166888433	166891362	3.77289885961751	+	1	chr2	166776700	166778700	10450	17586	1	71.8639735544014
NM_011664	chr11	62365005	62366714	4.53890751268738	+	1	chr11	62238800	62240800	10895	4167	1	71.8639735544014
NM_026836	chr17	28038072	28044669	2.23909988359551	-	1	chr17	28184200	28186200	7005	13001	0.949152542372881	71.6785830100191
NM_009954	chr8	114234374	114267709	2.76197635979205	-	1	chr8	114317800	114319800	8727	29472	0.949152542372881	71.6785830100191
NM_176902	chr11	116295407	116300391	1.75169239801481	+	1	chr11	116410900	116412900	5137	2256	0.966101694915254	71.5873678503891
NM_025542	chr2	172266077	172295399	1.99575689769987	+	1	chr2	172188400	172190400	6090	17811	0.966101694915254	71.5873678503891
NM_172743	chr7	123267631	123333355	2.04242609513771	-	1	chr7	123300200	123302200	6272	27539	0.966101694915254	71.5873678503891
NM_013560	chr5	136363788	136365433	4.23918921787177	+	1	chr5	136264100	136266100	10774	24100	0.966101694915254	71.5873678503891
NM_153396	chr6	120957257	121031627	1.71247452993108	-	1	chr6	121084800	121086800	4987	25736	0.983050847457627	71.2127177766979
NM_029279	chr13	51747082	51779015	1.71622201431205	+	1	chr13	51764200	51766200	5002	7867	0.983050847457627	71.2127177766979
NM_029457	chr16	22009556	22049341	1.8061865630874	+	1	chr16	21975600	21977600	5357	11741	0.983050847457627	71.2127177766979
NM_173781	chr9	103014403	103087600	1.91211992123216	+	1	chr9	103089500	103091500	5758	31183	0.983050847457627	71.2127177766979
NM_021881	chr17	10403044	10512226	2.27824321888774	-	1	chr17	10559200	10561200	7148	12650	0.983050847457627	71.2127177766979
NM_033398	chr11	116698745	116704763	2.42255240804103	-	1	chr11	116693800	116695800	7679	2274	0.983050847457627	71.2127177766979
NM_009163	chr10	60561391	60610413	2.87830479967803	-	1	chr10	60506900	60508900	9031	914	0.983050847457627	71.2127177766979
NM_001159517	chr17	10399335	10512226	3.49582247836578	-	1	chr17	10559200	10561200	10164	12650	0.983050847457627	71.2127177766979
NM_029787	chr15	82983931	83002638	3.89829318127977	-	1	chr15	83073400	83075400	10560	10989	0.983050847457627	71.2127177766979
NM_026845	chr17	29387779	29400916	3.15732377312155	-	1	chr17	29385500	29387500	9638	13111	0.949152542372881	70.7958608851192
NM_009689	chr11	117710550	117717057	3.64826837484949	+	1	chr11	117592700	117594700	10340	2361	0.949152542372881	70.7958608851192
NM_023734	chr17	29455826	29465847	-2.31717906889742	+	0	chr17	29517600	29519600	2097	13121	0.932203389830508	70.7445662691183
NM_028145	chr7	106614513	106622528	-1.36537079368447	+	0	chr7	106747700	106749700	3402	27275	0.966101694915254	70.5783083045582
NM_199306	chr4	132848380	132895230	2.23217443120296	-	1	chr4	132856600	132858600	6971	21456	0.966101694915254	70.5783083045582
NM_026521	chr15	36926783	36937157	2.5971335378631	-	1	chr15	36960200	36962200	8250	10233	0.966101694915254	70.5783083045582
NM_010948	chr4	133088457	133101911	3.75252538951535	-	1	chr4	133243900	133245900	10435	21487	0.966101694915254	70.5783083045582
NM_010350	chr11	115110482	115128557	-3.3843697635559	-	0	chr11	115118800	115120800	902	2177	1	70.5496657539759
NM_011789	chr10	79764564	79781001	-0.782693403923414	+	0	chr10	79903500	79905500	4298	1374	1	70.5496657539759
NM_027995	chr4	134052892	134064725	-0.73049397060439	+	0	chr4	133912500	133914500	4387	21522	1	70.5496657539759
NM_010927	chr11	78734360	78773626	-0.723210590094338	+	0	chr11	78618350	78620350	4405	4810	1	70.5496657539759
NM_139292	chr10	79792914	79799186	1.6106951218151	+	1	chr10	79677600	79679600	4593	1361	1	70.5496657539759
NM_025915	chr11	69210017	69211736	1.61932685526445	-	1	chr11	69285300	69287300	4626	4402	1	70.5496657539759
NM_198602	chr5	136724004	137043275	1.6396974399841	-	1	chr5	137063700	137065700	4702	24150	1	70.5496657539759
NM_028133	chr12	55279968	55304861	1.69723264918401	-	1	chr12	55279100	55281100	4924	6598	1	70.5496657539759
NM_001034964	chr19	40366529	40476800	1.69793951182389	-	1	chr19	40341750	40343750	4926	15839	1	70.5496657539759
NM_011594	chr11	118162374	118216725	1.7262889583674	-	1	chr11	118271900	118273900	5036	2419	1	70.5496657539759
NM_028244	chr17	32173106	32199807	1.76178639785557	+	1	chr17	32035350	32037350	5178	13277	1	70.5496657539759
NM_029100	chr4	134093806	134108081	1.78720243503544	-	1	chr4	134078500	134080500	5280	21530	1	70.5496657539759
NM_013863	chr7	135667096	135690491	2.0747606031613	+	1	chr7	135684000	135686000	6407	27781	1	70.5496657539759
NM_175438	chr4	139178808	139205605	2.12948924814474	+	1	chr4	139036500	139038500	6606	21854	1	70.5496657539759
NM_001145884	chr16	33829750	33949422	2.22047115847701	+	1	chr16	33960700	33962700	6931	12041	1	70.5496657539759
NM_008629	chr5	115879693	115904211	2.23833346403231	+	1	chr5	115919100	115921100	7003	23497	1	70.5496657539759
NM_025700	chr5	64484188	64519397	2.3414595923761	+	1	chr5	64493200	64495200	7383	25102	1	70.5496657539759
NM_145564	chr5	118426778	118460200	2.48884886902062	+	1	chr5	118430000	118432000	7905	23582	1	70.5496657539759
NM_016686	chr11	87881842	87898231	2.57144360870361	+	1	chr11	87888400	87890400	8164	5243	1	70.5496657539759
NM_001146124	chr10	59747208	59765347	2.65745841498615	+	1	chr10	59604200	59606200	8444	849	1	70.5496657539759
NM_001146124	chr10	59747208	59765347	2.65745841498615	+	1	chr10	59761300	59763300	8444	867	1	70.5496657539759
NM_013692	chr15	38224167	38230462	2.84976964660723	-	1	chr15	38224700	38226700	8962	10275	1	70.5496657539759
NM_011715	chr5	38918051	38952834	2.9367091811045	-	1	chr5	38921900	38923900	9178	24992	1	70.5496657539759
NM_133705	chr1	182834404	182838218	3.23770935529068	+	1	chr1	182793100	182795100	9783	4980	1	70.5496657539759
NM_177099	chr1	182823249	182829233	3.35330881093518	+	1	chr1	182793100	182795100	9962	4980	1	70.5496657539759
NM_019641	chr4	134024234	134029757	3.53622931457944	+	1	chr4	134078500	134080500	10206	21530	1	70.5496657539759
NM_001146122	chr10	59740375	59765347	3.72164911544336	+	1	chr10	59761300	59763300	10403	867	1	70.5496657539759
NM_007842	chr1	155302887	155334790	4.14632961728805	-	1	chr1	155302500	155304500	10721	3837	1	70.5496657539759
NM_001080820	chr2	172219402	172258360	-2.09588804705878	+	0	chr2	172303900	172305900	2367	17817	0.983050847457627	70.0418910435267
NM_134021	chr11	96799129	96805333	1.87486517344223	-	1	chr11	96653800	96655800	5624	5626	0.983050847457627	70.0418910435267
NM_010444	chr15	101097276	101105223	1.92298069547188	+	1	chr15	101027200	101029200	5802	9890	0.983050847457627	70.0418910435267
NM_178220	chr7	106683995	106755281	1.98093801857779	+	1	chr7	106665600	106667600	6042	27268	0.983050847457627	70.0418910435267
NM_175352	chr5	115572574	115584984	2.15778588487162	-	1	chr5	115533900	115535900	6700	23478	0.983050847457627	70.0418910435267
NM_016741	chr5	125757459	125821444	2.30120914681411	-	1	chr5	125935750	125937750	7244	23888	0.983050847457627	70.0418910435267
NM_178087	chr9	58064986	58097593	2.39933060585123	-	1	chr9	58072900	58074900	7595	32287	0.983050847457627	70.0418910435267
NM_176849	chr8	8666575	8690537	3.48469258414922	-	1	chr8	8685750	8687750	10146	30884	0.983050847457627	70.0418910435267
NM_026065	chr10	94943439	94964561	3.69061045506696	-	1	chr10	94850600	94852600	10378	1669	0.983050847457627	70.0418910435267
NM_177301	chr7	29595908	29607285	4.48906436801545	+	1	chr7	29693900	29695900	10874	28443	0.983050847457627	70.0418910435267
NM_028659	chr7	29756391	29766833	4.54844320847787	-	1	chr7	29693900	29695900	10901	28443	0.983050847457627	70.0418910435267
NM_027230	chr2	165609653	165710188	2.83211273861218	-	1	chr2	165649000	165651000	8910	17506	0.898305084745763	70.0054943072094
NM_001166585	chr7	119902897	120050317	3.71891387138806	+	1	chr7	119916200	119918200	10400	27474	0.898305084745763	70.0054943072094
NM_026063	chr17	27259609	27270836	3.42768026068753	-	1	chr17	27375500	27377500	10070	12933	0.932203389830508	69.9368123985934
NM_199068	chr5	142877450	142937969	1.60034469415498	+	1	chr5	143021600	143023600	4540	24371	0.949152542372881	69.8798921308148
NM_134150	chr19	7272695	7280774	2.87087741640836	-	1	chr19	7406800	7408800	9009	16434	0.915254237288136	69.7494450726116
NM_178627	chr15	82956407	82979766	3.11401740536123	-	1	chr15	82989100	82991100	9557	10981	0.966101694915254	69.5263705553513
NM_138581	chr15	78965084	78971681	-4.66815578020775	-	0	chr15	79053800	79055800	137	10807	1	69.1642795614517
NM_139226	chr10	79957650	79980005	-4.25295115489996	+	0	chr10	79952550	79954550	286	1378	1	69.1642795614517
NM_199251	chr17	88145160	88197334	-2.87047501738171	-	0	chr17	88139100	88141100	1459	14212	1	69.1642795614517
NM_178662	chr10	80667257	80693524	-1.48881447011036	-	0	chr10	80707400	80709400	3230	1416	1	69.1642795614517
NM_010149	chr9	21763342	21768020	-1.41909445066225	-	0	chr9	21781400	21783400	3318	31774	1	69.1642795614517
NM_026094	chr10	79982329	80001869	-1.0830332741626	-	0	chr10	79952550	79954550	3813	1378	1	69.1642795614517
NM_010495	chr2	152562009	152563146	1.76279227528514	+	1	chr2	152687300	152689300	5183	17103	1	69.1642795614517
