chr start end
chr1 3471600 3475600
chr1 3902450 3906450
chr1 3944100 3948100
chr1 4047600 4051600
chr1 4445000 4449000
chr1 4579200 4583200
chr1 4586900 4590900
chr1 4648900 4652900
chr1 4758500 4762500
chr1 4792100 4796100
chr1 4807600 4811600
chr1 4831900 4835900
chr1 4898500 4902500
chr1 4902600 4906600
chr1 4923600 4927600
chr1 4958700 4962700
chr1 5146100 5150100
chr1 5215700 5219700
chr1 5220950 5224950
chr1 5248950 5252950
chr1 5767600 5771600
chr1 5994500 5998500
chr1 6131600 6135600
chr1 6270000 6274000
chr1 6437000 6441000
chr1 6440000 6444000
chr1 6748700 6752700
chr1 7009000 7013000
chr1 7041000 7045000
chr1 7092100 7096100
chr1 7299650 7303650
chr1 7508050 7512050
chr1 7531500 7535500
chr1 7579800 7583800
chr1 7660150 7664150
chr1 8276300 8280300
chr1 8904200 8908200
chr1 8914100 8918100
chr1 9430500 9434500
chr1 9458800 9462800
chr1 9524450 9528450
chr1 9560000 9564000
chr1 9615600 9619600
chr1 9941700 9945700
chr1 9944700 9948700
chr1 9978000 9982000
chr1 10019800 10023800
chr1 10083600 10087600
chr1 10215100 10219100
chr1 10273400 10277400
chr1 10804400 10808400
chr1 10865900 10869900
chr1 11138100 11142100
chr1 11239400 11243400
chr1 11283300 11287300
chr1 11339300 11343300
chr1 11389500 11393500
chr1 11449900 11453900
chr1 11480900 11484900
chr1 11490100 11494100
chr1 11552900 11556900
chr1 11736400 11740400
chr1 12008500 12012500
chr1 12360900 12364900
chr1 12568000 12572000
chr1 12624900 12628900
chr1 12667200 12671200
chr1 12695600 12699600
chr1 12699600 12703600
chr1 12711100 12715100
chr1 12736800 12740800
chr1 12741150 12745150
chr1 12750950 12754950
chr1 12760100 12764100
chr1 12778900 12782900
chr1 12783800 12787800
chr1 12799600 12803600
chr1 12803000 12807000
chr1 12874700 12878700
chr1 12919200 12923200
chr1 12986000 12990000
chr1 12997500 13001500
chr1 13047900 13051900
chr1 13073100 13077100
chr1 13096200 13100200
chr1 13099800 13103800
chr1 13105450 13109450
chr1 13120200 13124200
chr1 13130000 13134000
chr1 13134200 13138200
chr1 13195000 13199000
chr1 13204300 13208300
chr1 13210500 13214500
chr1 13214100 13218100
chr1 13241800 13245800
chr1 13247700 13251700
chr1 13266500 13270500
chr1 13278500 13282500
chr1 13297200 13301200
chr1 13314900 13318900
chr1 13320700 13324700
chr1 13395700 13399700
chr1 13453400 13457400
chr1 13484600 13488600
chr1 13521300 13525300
chr1 13573700 13577700
chr1 13588000 13592000
chr1 13595900 13599900
chr1 13602600 13606600
chr1 13609800 13613800
chr1 13620550 13624550
chr1 13639450 13643450
chr1 13644850 13648850
chr1 13834800 13838800
chr1 13858900 13862900
chr1 13989400 13993400
chr1 14144500 14148500
chr1 14149350 14153350
chr1 14213500 14217500
chr1 14219400 14223400
chr1 14276200 14280200
chr1 14279900 14283900
chr1 14302000 14306000
chr1 14410050 14414050
chr1 14453100 14457100
chr1 14472500 14476500
chr1 14479150 14483150
chr1 14521400 14525400
chr1 14618700 14622700
chr1 14731000 14735000
chr1 15444500 15448500
chr1 15472750 15476750
chr1 15632800 15636800
chr1 15640400 15644400
chr1 15777200 15781200
chr1 15780700 15784700
chr1 16104200 16108200
chr1 16117800 16121800
chr1 16123250 16127250
chr1 16314600 16318600
chr1 16637900 16641900
chr1 16662000 16666000
chr1 16997700 17001700
chr1 17080200 17084200
chr1 17196000 17200000
chr1 17224200 17228200
chr1 17238700 17242700
chr1 17494500 17498500
chr1 17676900 17680900
chr1 17920200 17924200
chr1 18018700 18022700
chr1 18627400 18631400
chr1 20749050 20753050
chr1 20764400 20768400
chr1 20850750 20854750
chr1 20857150 20861150
chr1 20884550 20888550
chr1 20893700 20897700
chr1 20896600 20900600
chr1 20899800 20903800
chr1 20943900 20947900
chr1 20962300 20966300
chr1 20968750 20972750
chr1 20973800 20977800
chr1 20985900 20989900
chr1 21040600 21044600
chr1 21055400 21059400
chr1 21064100 21068100
chr1 21085200 21089200
chr1 21219700 21223700
chr1 21241600 21245600
chr1 21245400 21249400
chr1 21390750 21394750
chr1 22280800 22284800
chr1 22361600 22365600
chr1 22366000 22370000
chr1 22375400 22379400
chr1 22472400 22476400
chr1 23874200 23878200
chr1 23939900 23943900
chr1 23976600 23980600
chr1 24138700 24142700
chr1 24737400 24741400
chr1 25067900 25071900
chr1 25235000 25239000
chr1 25942600 25946600
chr1 28707600 28711600
chr1 30570300 30574300
chr1 30860500 30864500
chr1 30889900 30893900
chr1 30903250 30907250
chr1 30924350 30928350
chr1 30938700 30942700
chr1 30965300 30969300
chr1 30992600 30996600
chr1 31288850 31292850
chr1 33326400 33330400
chr1 33550400 33554400
chr1 33611000 33615000
chr1 33619100 33623100
chr1 33697400 33701400
chr1 33700500 33704500
chr1 33718800 33722800
chr1 33769300 33773300
chr1 33798200 33802200
chr1 33802400 33806400
chr1 33853250 33857250
chr1 33986600 33990600
chr1 33996800 34000800
chr1 34019550 34023550
chr1 34023700 34027700
chr1 34029900 34033900
chr1 34037000 34041000
chr1 34044600 34048600
chr1 34073800 34077800
chr1 34085550 34089550
chr1 34092800 34096800
chr1 34095000 34099000
chr1 34099000 34103000
chr1 34107800 34111800
chr1 34112100 34116100
chr1 34116100 34120100
chr1 34119000 34123000
chr1 34140800 34144800
chr1 34145900 34149900
chr1 34152450 34156450
chr1 34183100 34187100
chr1 34188000 34192000
chr1 34205200 34209200
chr1 34210950 34214950
chr1 34219300 34223300
chr1 34365750 34369750
chr1 34412100 34416100
chr1 34441500 34445500
chr1 34456500 34460500
chr1 34517900 34521900
chr1 34560300 34564300
chr1 34602600 34606600
chr1 34625550 34629550
chr1 34795300 34799300
chr1 34874500 34878500
chr1 34878250 34882250
chr1 34888850 34892850
chr1 34914400 34918400
chr1 34938800 34942800
chr1 35016950 35020950
chr1 35079500 35083500
chr1 35287400 35291400
chr1 35728800 35732800
chr1 35752500 35756500
chr1 35805100 35809100
chr1 35818000 35822000
chr1 35865300 35869300
chr1 35867700 35871700
chr1 35896900 35900900
chr1 35905400 35909400
chr1 35911800 35915800
chr1 35921700 35925700
chr1 35925200 35929200
chr1 35937900 35941900
chr1 35972600 35976600
chr1 35981300 35985300
chr1 35985900 35989900
chr1 35997200 36001200
chr1 35999300 36003300
chr1 36006500 36010500
chr1 36017300 36021300
chr1 36026400 36030400
chr1 36034300 36038300
chr1 36038200 36042200
chr1 36050800 36054800
chr1 36057700 36061700
chr1 36060400 36064400
chr1 36072100 36076100
chr1 36085700 36089700
chr1 36093700 36097700
chr1 36109600 36113600
chr1 36112700 36116700
chr1 36130700 36134700
chr1 36134100 36138100
chr1 36139800 36143800
chr1 36143600 36147600
chr1 36146200 36150200
chr1 36151400 36155400
chr1 36159650 36163650
chr1 36169800 36173800
chr1 36186500 36190500
chr1 36291000 36295000
chr1 36295800 36299800
chr1 36306650 36310650
chr1 36353100 36357100
chr1 36571700 36575700
chr1 36575600 36579600
chr1 36582550 36586550
chr1 36622900 36626900
chr1 36629900 36633900
chr1 36654100 36658100
chr1 36665500 36669500
chr1 36667800 36671800
chr1 36673900 36677900
chr1 36687500 36691500
chr1 36690300 36694300
chr1 36695600 36699600
chr1 36700300 36704300
chr1 36727800 36731800
chr1 36751600 36755600
chr1 36786900 36790900
chr1 36799100 36803100
chr1 36813100 36817100
chr1 36845350 36849350
chr1 36860200 36864200
chr1 36887100 36891100
chr1 36900250 36904250
chr1 36907800 36911800
chr1 36913700 36917700
chr1 36915400 36919400
chr1 36920000 36924000
chr1 36940900 36944900
chr1 36948250 36952250
chr1 36954400 36958400
chr1 36959000 36963000
chr1 36962700 36966700
chr1 36970000 36974000
chr1 36974200 36978200
chr1 36978300 36982300
chr1 36982600 36986600
chr1 36989900 36993900
chr1 37017000 37021000
chr1 37024600 37028600
chr1 37033100 37037100
chr1 37051150 37055150
chr1 37056700 37060700
chr1 37060800 37064800
chr1 37063400 37067400
chr1 37068500 37072500
chr1 37071100 37075100
chr1 37090500 37094500
chr1 37105500 37109500
chr1 37118800 37122800
chr1 37131700 37135700
chr1 37138100 37142100
chr1 37141700 37145700
chr1 37147200 37151200
chr1 37161900 37165900
chr1 37176450 37180450
chr1 37184650 37188650
chr1 37267700 37271700
chr1 37296200 37300200
chr1 37308500 37312500
chr1 37379300 37383300
chr1 37393400 37397400
chr1 37453500 37457500
chr1 37464900 37468900
chr1 37558900 37562900
chr1 37579400 37583400
chr1 37583100 37587100
chr1 37671000 37675000
chr1 37726200 37730200
chr1 37730300 37734300
chr1 37743300 37747300
chr1 37748900 37752900
chr1 37757300 37761300
chr1 37939250 37943250
chr1 37955400 37959400
chr1 37967700 37971700
chr1 37983300 37987300
chr1 38066950 38070950
chr1 38082200 38086200
chr1 38114050 38118050
chr1 38130400 38134400
chr1 38165100 38169100
chr1 38216300 38220300
chr1 38236600 38240600
chr1 38254400 38258400
chr1 38311000 38315000
chr1 38448750 38452750
chr1 38558600 38562600
chr1 38618000 38622000
chr1 38822200 38826200
chr1 38879200 38883200
chr1 38922100 38926100
chr1 38927700 38931700
chr1 38942700 38946700
chr1 38957850 38961850
chr1 38985600 38989600
chr1 39061800 39065800
chr1 39077300 39081300
chr1 39080800 39084800
chr1 39112100 39116100
chr1 39177400 39181400
chr1 39291350 39295350
chr1 39336500 39340500
chr1 39347800 39351800
chr1 39390800 39394800
chr1 39404100 39408100
chr1 39436100 39440100
chr1 39453800 39457800
chr1 39460000 39464000
chr1 39479950 39483950
chr1 39484700 39488700
chr1 39505700 39509700
chr1 39510400 39514400
chr1 39520150 39524150
chr1 39582650 39586650
chr1 39586800 39590800
chr1 39663700 39667700
chr1 39670000 39674000
chr1 39677100 39681100
chr1 39691300 39695300
chr1 39720200 39724200
chr1 39751000 39755000
chr1 39756200 39760200
chr1 39784900 39788900
chr1 39791900 39795900
chr1 39802100 39806100
chr1 39816600 39820600
chr1 39827400 39831400
chr1 39894700 39898700
chr1 39907600 39911600
chr1 39913600 39917600
chr1 39919900 39923900
chr1 39924450 39928450
chr1 39940100 39944100
chr1 39950300 39954300
chr1 39966500 39970500
chr1 39981500 39985500
chr1 39994800 39998800
chr1 40000500 40004500
chr1 40003600 40007600
chr1 40008100 40012100
chr1 40010800 40014800
chr1 40013600 40017600
chr1 40024000 40028000
chr1 40054000 40058000
chr1 40057150 40061150
chr1 40089000 40093000
chr1 40112700 40116700
chr1 40358100 40362100
chr1 40413750 40417750
chr1 40721200 40725200
chr1 40942800 40946800
chr1 41185150 41189150
chr1 41445900 41449900
chr1 41838200 41842200
chr1 42163400 42167400
chr1 42298200 42302200
chr1 42447000 42451000
chr1 42598300 42602300
chr1 42944750 42948750
chr1 42962600 42966600
chr1 42967100 42971100
chr1 42973100 42977100
chr1 42990300 42994300
chr1 43178400 43182400
chr1 43194200 43198200
chr1 43223200 43227200
chr1 43226700 43230700
chr1 43257700 43261700
chr1 43324400 43328400
chr1 43451200 43455200
chr1 43520550 43524550
chr1 43525550 43529550
chr1 43532800 43536800
chr1 43538650 43542650
chr1 43551500 43555500
chr1 43625700 43629700
chr1 43691900 43695900
